,area_polygon,cloudtop_height,e_radial,e_radial_del2,e_tb,geometry,lat,lat_corr,lon,lon_corr,mintb,n_radial,n_radial_del2,n_tb,ne_radial,ne_radial_del2,ne_tb,nw_radial,nw_radial_del2,nw_tb,otid,prob,s_radial,s_radial_del2,s_tb,se_radial,se_radial_del2,se_tb,sw_radial,sw_radial_del2,sw_tb,time,tropopause_height,tropopause_pressure,tropopause_temperature,w_radial,w_radial_del2,w_tb
0,78.73796654031744,16.345001220703125,7.376104248744128,"[ 0.03607941  0.07504654  0.1497612   0.18371964  0.13935089  0.04795074
 -0.02782059 -0.05161667 -0.02848816  0.01135635  0.02848053 -0.00898743
 -0.08977127 -0.15674973 -0.15895462 -0.11401367 -0.09099197 -0.1250267
 -0.16531754 -0.13015366 -0.01117706  0.10053253  0.1150322   0.05158615
 -0.00439835 -0.01689148 -0.03452301 -0.10238266 -0.183815   -0.16606522
 -0.11420441]","[198.46099854 198.70446777 199.02009583 199.49159241 200.17823792
 201.01359558 201.89378357 202.72740173 203.49804688 204.23474121
 204.98835754 205.7875061  206.59259033 207.30432129 207.83773804
 208.19413757 208.44706726 208.62789917 208.69242859 208.56155396
 208.27651978 207.97459412 207.81590271 207.7897644  207.81541443
 207.8112793  207.79733276 207.76522827 207.64115906 207.30964661
 206.74972534]","POLYGON ((-105.1875 21.9910717010498, -105.1437301635742 21.94729423522949, -105.1160736083984 21.9910717010498, -105.1374740600586 22.04110145568848, -105.1875 22.05059432983398, -105.2187728881836 22.02234077453613, -105.2470245361328 21.9910717010498, -105.1937561035156 21.98481750488281, -105.1875 21.9910717010498))",21.991072,19.426071166992188,-105.1875,-91.56107330322266,198.36000061035156,6.590973679233817,"[ 0.09576416  0.14959335  0.18801117  0.1240921   0.02976227 -0.04017258
 -0.06079483 -0.03810883 -0.00495529 -0.00077438 -0.0296936  -0.05120087
 -0.06003952 -0.10485077 -0.20245743 -0.26954269 -0.20033264 -0.01345444
  0.14339447  0.15138245  0.05842972  0.00537491  0.08177185  0.26270294
  0.43194962  0.4616394   0.30319977  0.03541946 -0.19116592 -0.21593094
 -0.15758514]","[198.46099854 198.2233429  198.17721558 198.34640503 198.64547729
 198.96583557 199.23278809 199.42457581 199.57691956 199.73088074
 199.90122986 200.03408813 200.10676575 200.13249207 200.07214355
 199.81149292 199.22769165 198.412323   197.58190918 196.95933533
 196.50970459 196.11187744 195.67121887 195.28591919 195.15982056
 195.51077271 196.3762207  197.58218384 198.80541992 199.79527283
 200.46995544]",7.574227316667357,"[ 0.03730774  0.06442642  0.1060524   0.12770081  0.13495636  0.12714386
  0.09807587  0.04776001 -0.01238632 -0.07505798 -0.13324738 -0.17019272
 -0.16940308 -0.12960815 -0.06357956  0.0086174   0.06583786  0.0946846
  0.09619904  0.08453369  0.07073593  0.05338669  0.02622223 -0.00998688
 -0.04457855 -0.06772232 -0.07732773 -0.07448196 -0.0614357  -0.0372963
 -0.02173615]","[198.46099854 198.45552063 198.5246582  198.70227051 199.01252747
 199.45982361 200.04022217 200.72595215 201.46022034 202.18312073
 202.83067322 203.34005737 203.6681366  203.81622314 203.82798767
 203.7739563  203.73352051 203.76615906 203.90240479 204.13710022
 204.45608521 204.84617615 205.29270935 205.76879883 206.23422241
 206.651474   206.99742126 207.26325989 207.4513092  207.57711792
 207.65945435]",4.734542850623721,"[ 0.00247955  0.00979996  0.03038406  0.05427551  0.07305527  0.08703613
  0.08638763  0.0629921   0.02965927  0.00361633 -0.00734329 -0.00458145
  0.00365067  0.00709534 -0.00641632 -0.0443306  -0.09182358 -0.11906815
 -0.11232376 -0.0798912  -0.0264473   0.03393555  0.06405258  0.05453491
  0.03081512  0.00986862 -0.00154114  0.00292587  0.01582718  0.01677704
  0.01161957]","[198.46099854 198.18382263 197.91160583 197.66867065 197.48374939
 197.37062073 197.34811401 197.42071533 197.55802917 197.72277832
 197.88658142 198.03930664 198.1857605  198.33750916 198.49954224
 198.66409302 198.78765869 198.81335449 198.70848083 198.48634338
 198.18000793 197.83976746 197.54574585 197.32893372 197.16769409
 197.03623962 196.91290283 196.78302002 196.65194702 196.54150391
 196.45429993]",30.0,0.75,0.0,"[-0.04912567 -0.08251953 -0.09979248 -0.02449799  0.08806229  0.16020584
  0.16844559  0.14339447  0.12528992  0.11203003  0.06155777 -0.05109406
 -0.18367004 -0.25248718 -0.21614456 -0.11209488 -0.01494217  0.03236008
  0.0365181   0.02501678  0.01709747  0.01411057  0.01023102  0.00346756
 -0.00203705 -0.00163269  0.00444031  0.01216507  0.0176239   0.01472473
  0.01006317]","[198.46099854 198.75639343 198.95353699 199.0171051  199.04690552
 199.17982483 199.49252319 199.98336792 200.61192322 201.36048889
 202.23248291 203.18572998 204.09927368 204.80659485 205.23138428
 205.41751099 205.49891663 205.58004761 205.7066803  205.87202454
 206.06051636 206.2640686  206.48274231 206.71255493 206.94589233
 207.1749115  207.40089417 207.6307373  207.87365723 208.13522339
 208.41691589]",6.628356370024627,"[ 0.00267792  0.00644684  0.01777267  0.03800201  0.06043243  0.06593704
  0.04156494 -0.00662231 -0.05582809 -0.07923508 -0.06890488 -0.04123688
 -0.01745987 -0.01125336 -0.02515793 -0.04544067 -0.05269241 -0.04571152
 -0.03486252 -0.02248764 -0.01380157 -0.01112747 -0.00307846  0.009758
  0.02204895  0.04156113  0.06301117  0.07477951  0.07834625  0.05836868
  0.03801727]","[198.46099854 198.73603821 199.01643372 199.31190491 199.64295959
 200.03977966 200.51121521 201.03140259 201.54573059 201.99653625
 202.35693359 202.64472961 202.89251709 203.12797546 203.35826111
 203.56620789 203.72337341 203.82267761 203.87771606 203.89630127
 203.89260864 203.87997437 203.85229492 203.81913757 203.79966736
 203.79733276 203.8352356  203.94177246 204.12284851 204.3853302
 204.72384644]",0.94710373474509,"[ 0.0027771  -0.00519943 -0.02873993 -0.04737091 -0.04080582 -0.01987457
 -0.00245285  0.0064621   0.01307678  0.02206802  0.0329628   0.04178619
  0.0422287   0.03321075  0.02329254  0.02230453  0.02945709  0.03505325
  0.03449631  0.03027725  0.01437759 -0.02155685 -0.06314087 -0.09109497
 -0.09962463 -0.0918541  -0.07394028 -0.05355835 -0.03503418 -0.01731491
 -0.00840759]","[198.46099854 198.5057373  198.55603027 198.57441711 198.53610229
 198.45361328 198.35295105 198.25331116 198.1599884  198.07885742
 198.01933289 197.99267578 198.01052856 198.07363892 198.17063904
 198.28744507 198.42391968 198.59046936 198.79502869 199.03370667
 199.30412292 199.59805298 199.87072754 200.07617188 200.18476868
 200.18991089 200.10031128 199.93623352 199.72009277 199.46832275
 199.19973755]",2020-08-10 03:10:22,16.362001419067383,106.20999908447266,198.11000061035156,6.147016183329642,"[ 3.13339233e-02  5.65910339e-02  8.91380310e-02  7.32727051e-02
  1.40762329e-02 -3.73306274e-02 -3.44009399e-02  1.44233704e-02
  5.55992126e-02  5.36727905e-02  2.14920044e-02 -9.27352905e-03
 -2.31742859e-02 -2.40821838e-02 -1.77345276e-02 -9.91439819e-03
 -6.59561157e-03 -6.78253174e-03  1.37329102e-03  2.88848877e-02
  6.81114197e-02  9.02938843e-02  7.75718689e-02  3.60603333e-02
 -4.99801979e+01 -5.00583763e+01  4.98309898e+01  4.99044762e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00]","[198.46099854 198.23716736 198.07600403 198.01586914 198.04756165
 198.08766174 198.07542419 198.01013184 197.96568298 197.99029541
 198.07833862 198.18515015 198.27696228 198.34291077 198.38288879
 198.40434265 198.4178772  198.42611694 198.42648315 198.42076111
 198.44058228 198.53094482 198.72712708 199.00230408 199.32395935
 199.61790466   0.           0.           0.           0.
   0.        ]"
1,48.03661501936864,16.863000869750977,5.001583990244287,"[ 0.30641937  0.36465836  0.25598526  0.00832367 -0.04675293  0.0633049
  0.19812393  0.21718597  0.11101913 -0.01467133 -0.07800293 -0.11189651
 -0.19508743 -0.32703781 -0.41482925 -0.38692856 -0.25681305 -0.07963562
  0.08656311  0.1926384   0.21285248  0.16490936  0.10032654  0.06358719
  0.06128311  0.06927109  0.06526184  0.06139374  0.08483505  0.08610535
  0.06646729]","[197.5896759  197.57568359 198.17453003 199.0063324  199.7833252
 200.47027588 201.20510864 202.18743896 203.41938782 204.77334595
 206.07774353 207.30056763 208.42408752 209.38020325 209.99008179
 210.15168762 209.89675903 209.37545776 208.77618408 208.28068542
 208.00186157 207.95646667 208.07894897 208.29188538 208.55734253
 208.88165283 209.28086853 209.74850464 210.26544189 210.8609314
 211.58935547]","POLYGON ((-91.58036041259766 19.3839282989502, -91.55535125732422 19.39462852478027, -91.53273773193359 19.41964340209961, -91.54909515380859 19.4509105682373, -91.58036041259766 19.45535659790039, -91.60537719726562 19.44465827941895, -91.61607360839844 19.41964340209961, -91.60537719726562 19.39462852478027, -91.58036041259766 19.3839282989502))",19.419643,19.352643966674805,-91.58036,-91.52336120605469,195.22000122070312,3.9533561528531425,"[ 1.82991028e-01  1.87831879e-01  5.74378967e-02 -9.22775269e-02
 -7.89642334e-03  2.20905304e-01  4.39739227e-01  5.11711121e-01
  3.53576660e-01 -9.88388062e-03 -4.08691406e-01 -6.12594604e-01
 -5.42270660e-01 -3.21685791e-01 -1.24904633e-01 -2.69203186e-02
  1.72042847e-03  1.19438171e-02  2.64778137e-02  4.18014526e-02
  4.85610962e-02  4.25300598e-02  2.74467468e-02  1.17988586e-02
 -1.79290771e-04 -9.50622559e-03 -1.52473450e-02 -9.33837891e-03
  1.12037659e-02  2.12211609e-02  1.81350708e-02]","[197.5896759  197.69644165 198.16918945 198.66130066 198.97845459
 199.25704956 199.75613403 200.73641968 202.29277039 204.26263428
 206.24371338 207.74931335 208.55989075 208.78561401 208.70698547
 208.53517151 208.35446167 208.17704773 208.00881958 207.86669922
 207.76908875 207.72355652 207.72360229 207.75053406 207.78790283
 207.82470703 207.85148621 207.8608551  207.8540802  207.85964966
 207.90148926]",4.77075326983396,"[ 0.15386963  0.1846962   0.14808655  0.05434036  0.02736664  0.03799438
  0.05914688  0.07748413  0.10912704  0.16783524  0.22021103  0.20563889
  0.09723663 -0.06724167 -0.21111679 -0.27531433 -0.25749969 -0.1968689
 -0.13450241 -0.09265518 -0.07012939 -0.05447006 -0.03824615 -0.01974487
 -0.00166321  0.00928497  0.01024628  0.00573349  0.00208664  0.00091553
  0.00068665]","[197.5896759  197.47079468 197.65965271 197.97181702 198.32197571
 198.69020081 199.09376526 199.56056213 200.10214233 200.74085999
 201.54702759 202.59249878 203.87275696 205.26669312 206.58743286
 207.67192078 208.4576416  208.97589111 209.29785156 209.49238586
 209.60005188 209.63825989 209.62173462 209.56625366 209.49043274
 209.41526794 209.35247803 209.30142212 209.25550842 209.21051025
 209.16688538]",3.8170592974481474,"[ 0.15901947  0.2002182   0.16403961  0.02046204 -0.06797028 -0.05678177
  0.03173065  0.13192368  0.19189072  0.17024231  0.0572319  -0.09511566
 -0.21635818 -0.27377701 -0.27156448 -0.23134232 -0.18432236 -0.14515305
 -0.10432053 -0.05556107 -0.00382614  0.04021454  0.06318283  0.06050491
  0.04275513  0.02350998  0.00598907 -0.00943375 -0.01685333 -0.01251602
 -0.00743866]","[197.5896759  197.92077637 198.56991577 199.3838501  200.20631409
 200.92877197 201.5708313  202.24656677 203.06227112 204.09205627
 205.3212738  206.61851501 207.8092041  208.76451111 209.43170166
 209.81539917 209.96794128 209.94091797 209.76689148 209.48582458
 209.14855957 208.80848694 208.5149231  208.29200745 208.13401794
 208.01754761 207.9241333  207.83712769 207.73820496 207.61897278
 207.48486328]",32.0,0.7999999523162842,3.9535517605527857,"[ 0.31166077  0.35004807  0.10484314 -0.3963356  -0.61357498 -0.4477272
 -0.10314941  0.16675186  0.27772141  0.27174759  0.19202805  0.0706749
 -0.04180908 -0.09491348 -0.09880447 -0.10031509 -0.12166214 -0.14112854
 -0.13063049 -0.09000015 -0.03981781 -0.00113297  0.01613617  0.01364899
  0.00316238  0.0009346   0.01571274  0.0365181   0.04278183  0.02783203
  0.01567078]","[197.5896759  198.17178345 199.37721252 200.7361908  201.5841217
 201.71525574 201.33673096 200.90341187 200.67674255 200.75857544
 201.12763977 201.70072937 202.34664917 202.92558289 203.39842224
 203.77078247 204.05497742 204.21472168 204.22488403 204.09414673
 203.87226868 203.61357117 203.36038208 203.12846375 202.91304016
 202.69795227 202.47834778 202.2711792  202.10650635 201.99047852
 201.90579224]",3.8167789171859927,"[ 0.17029572  0.21749878  0.18395233  0.0266304  -0.09190369 -0.12971115
 -0.09831238 -0.04813385 -0.0133667   0.00862122  0.03811264  0.07776642
  0.09942627  0.08055878  0.02252579 -0.05494308 -0.1099205  -0.11550522
 -0.09089279 -0.06966782 -0.06398392 -0.06719971 -0.06930542 -0.0623703
 -0.04868698 -0.03911591 -0.03628159 -0.03340912 -0.02456284 -0.01135635
 -0.00457001]","[197.5896759  197.67141724 198.09375    198.70489502 199.33363342
 199.84489441 200.2059021  200.46604919 200.68492126 200.89466858
 201.11047363 201.35777283 201.68847656 202.13194275 202.66418457
 203.22834778 203.72999573 204.10498047 204.35612488 204.51959229
 204.61868286 204.65553284 204.62530518 204.52267456 204.35470581
 204.14033508 203.88935852 203.60153198 203.27888489 202.92909241
 202.57015991]",3.8173304620241613,"[ 0.27521515  0.37042236  0.33806992  0.02274704 -0.33137512 -0.55883408
 -0.55799484 -0.37037659 -0.12939072  0.06041718  0.17771912  0.24521637
  0.27349854  0.25871277  0.1970253   0.0881424  -0.04605865 -0.15736389
 -0.20576477 -0.19586945 -0.16223145 -0.13312912 -0.11678314 -0.10909271
 -0.10572433 -0.10374451 -0.09608078 -0.0720787  -0.02523041  0.01204681
  0.01985931]","[197.5896759  198.22926331 199.41928101 200.99012756 202.60116577
 203.84197998 204.45755005 204.45849609 204.08195496 203.59350586
 203.188797   202.97018433 203.0065155  203.32772827 203.91822815
 204.72012329 205.61804199 206.46508789 207.13362122 207.58059692
 207.82614136 207.91262817 207.86973572 207.71214294 207.44619751
 207.07528687 206.59976196 206.02345276 205.3690033  204.68330383
 204.037323  ]",2020-08-10 03:10:22,16.369001388549805,106.13999938964844,198.05999755859375,3.7507873583685503,"[ 0.49394989  0.6420517   0.51422882 -0.06835175 -0.53092575 -0.64963531
 -0.48841858 -0.26055145 -0.08925629  0.00986099  0.03817368  0.00218201
 -0.05766678 -0.09214783 -0.10531616 -0.12802124 -0.14899445 -0.1104126
  0.01172256  0.146698    0.18246078  0.08552551 -0.06093979 -0.14680481
 -0.14541626 -0.11145401 -0.09104538 -0.07206345 -0.01994705  0.02448654
  0.03145599]","[197.5896759  198.55500793 200.50823975 203.05387878 205.48371887
 207.27934265 208.335495   208.90626526 209.2335968  209.49098206
 209.77467346 210.11514282 210.46844482 210.74803162 210.93154907
 211.0123291  210.97338867 210.76454163 210.41925049 210.07510376
 209.91200256 209.97245789 210.13459778 210.21191406 210.11343384
 209.864151   209.51060486 209.0705719  208.54359436 207.98873901
 207.49679565]"
2,39.262940693289885,17.110000610351562,3.7816339503917233,"[ 0.36032104  0.41412735  0.24460602 -0.09924698 -0.23120499 -0.20143509
 -0.10429382 -0.00408173  0.0644722   0.09542847  0.10767365  0.13268661
  0.17986298  0.21611786  0.19221497  0.09930038 -0.01499557 -0.09377289
 -0.12566757 -0.13924408 -0.15300751 -0.14663315 -0.09317398 -0.00749207
  0.06168365  0.08333588  0.07498169  0.06320953  0.04737091  0.02333832
  0.00991058]","[197.90983582 197.654953   198.12071228 198.80169678 199.31001282
 199.55145264 199.57449341 199.49546814 199.42179871 199.42315674
 199.5269928  199.7325592  200.06288147 200.57270813 201.31822205
 202.27732849 203.34242249 204.37915039 205.30664062 206.10588074
 206.76818848 207.27563477 207.6177063  207.8588562  208.0945282
 208.41210938 208.81808472 209.29870605 209.84156799 210.43814087
 211.05453491]","POLYGON ((-92.99107360839844 17.9910717010498, -92.966064453125 18.00177192687988, -92.95536041259766 18.02678489685059, -92.97231292724609 18.04554748535156, -92.99107360839844 18.0625, -93.01609039306641 18.05180168151855, -93.02678680419922 18.02678489685059, -93.01609039306641 18.00177192687988, -92.99107360839844 17.9910717010498))",18.026785,17.96378517150879,-92.99107,-92.9290771484375,193.58999633789062,3.952979705915512,"[ 0.31856537  0.35535431  0.16856003 -0.16464615 -0.25875473 -0.18629074
 -0.06557083  0.06430054  0.19391632  0.26605988  0.22090149  0.10047531
 -0.01502609 -0.09401703 -0.14887238 -0.17785645 -0.15650558 -0.08771133
 -0.00606537  0.04902649  0.05865479  0.02194214 -0.04298782 -0.09505463
 -0.094944   -0.03823471  0.03731537  0.09025955  0.09773636  0.06008148
  0.03209686]","[197.90983582 198.02592468 198.77914429 199.67951965 200.32269287
 200.67453003 200.83122253 200.92437744 201.07746887 201.431427
 202.09938049 203.00271606 204.00489807 204.97590637 205.85031128
 206.57302856 207.10023499 207.45872498 207.72413635 207.99357605
 208.32377625 208.72453308 209.15803528 209.54325867 209.82034302
 209.98176575 210.10287476 210.26733398 210.53466797 210.91394043
 211.35740662]",2.8737554397593152,"[ 2.32101440e-01  2.69718170e-01  1.66343689e-01 -5.94863892e-02
 -1.57146454e-01 -1.31923676e-01 -3.83415222e-02  5.65681458e-02
  1.04236603e-01  9.39025879e-02  4.61082458e-02 -4.19616699e-05
 -1.05133057e-02  1.47018433e-02  4.61807251e-02  5.62553406e-02
  4.03556824e-02  1.96571350e-02  1.38626099e-02  1.30310059e-02
 -5.03158569e-03 -4.31404114e-02 -7.66525269e-02 -6.26564026e-02
  1.93786621e-02  1.29760742e-01  2.04601288e-01  2.23972321e-01
  2.05341339e-01  1.34983063e-01  8.10546875e-02]","[197.90983582 197.62811279 197.81059265 198.14353943 198.37672424
 198.42102051 198.31427002 198.17080688 198.09844971 198.14686584
 198.29957581 198.49853516 198.68513489 198.85003662 199.02864075
 199.26034546 199.55686951 199.89567566 200.246521   200.6096344
 200.99162292 201.37571716 201.71659851 201.96923828 202.13496399
 202.31213379 202.63084412 203.17407227 203.94512939 204.93190002
 206.08078003]",3.8318283479260353,"[ 0.23218536  0.30882263  0.2967186   0.10447693 -0.08058167 -0.1744957
 -0.1341095  -0.01685333  0.07893372  0.09595108  0.03308868 -0.06899643
 -0.15542603 -0.19820786 -0.20185852 -0.17937088 -0.14514542 -0.11359406
 -0.08990479 -0.06913376 -0.04566956 -0.01791382  0.01392746  0.0444603
  0.06472397  0.07105637  0.06437302  0.04838562  0.03154755  0.016922
  0.00959778]","[197.90983582 198.4130249  199.38058472 200.6546936  202.03820801
 203.31427002 204.37350464 205.27586365 206.17236328 207.17004395
 208.28695679 209.44802856 210.53390503 211.45002747 212.15914917
 212.65919495 212.97695923 213.15087891 213.21418762 213.18818665
 213.09179688 212.94895935 212.78672791 212.63807678 212.53736877
 212.5050354  212.54690552 212.65621948 212.81393433 213.00094604
 213.20715332]",40.0,0.7099999785423279,3.95275402832414,"[ 0.37708282  0.4372673   0.22523499 -0.24917221 -0.49818802 -0.47734833
 -0.31159973 -0.14749146 -0.05000305 -0.01613235 -0.0304985  -0.07116699
 -0.10371399 -0.0826683   0.01678848  0.16522598  0.27849579  0.27599716
  0.15719986  0.00341797 -0.09818268 -0.11673737 -0.07189941 -0.00254822
  0.03259277 -0.00867462 -0.09579086 -0.15773773 -0.15023422 -0.08615875
 -0.04534149]","[197.90983582 198.7736969  200.39172363 202.25048828 203.77455139
 204.73059082 205.16462708 205.30130005 205.30830383 205.28204346
 205.25196838 205.19825745 205.07363892 204.82980347 204.48045349
 204.13067627 203.954422   204.092453   204.54237366 205.15821838
 205.75912476 206.23765564 206.58314514 206.85014343 207.11956787
 207.45243835 207.78636169 208.02003479 208.06999207 207.9566803
 207.75268555]",3.8312182009210605,"[ 0.19965363  0.26363754  0.26492691  0.14202881  0.02186203 -0.07876587
 -0.13841248 -0.16130829 -0.15664673 -0.13237    -0.10191345 -0.07356644
 -0.04616547 -0.01928329  0.00563431  0.02742386  0.04425049  0.05176926
  0.04666901  0.03292084  0.01573944 -0.00380707 -0.02537918 -0.04792023
 -0.06881332 -0.08065796 -0.07162476 -0.03814697  0.00827026  0.03026962
  0.02799988]","[197.90983582 197.94108582 198.37164307 199.05813599 199.89315796
 200.74330139 201.50212097 202.11340332 202.55743408 202.83827209
 202.98616028 203.03366089 203.00723267 202.93478394 202.84364319
 202.7587738  202.70259094 202.69245911 202.73854065 202.83322144
 202.96116638 203.10566711 203.24674988 203.36288452 203.43081665
 203.42842102 203.33963013 203.17132568 202.96194458 202.76164246
 202.61734009]",3.8317767349456915,"[ 0.29262543  0.37247467  0.30765152  0.02043152 -0.22138977 -0.35974503
 -0.38868332 -0.3494873  -0.28695679 -0.21514511 -0.1452446  -0.09714127
 -0.0749588  -0.06678391 -0.0564003  -0.03372955 -0.00548553  0.01299667
  0.01800537  0.01964569  0.02611923  0.0368042   0.04753494  0.05521011
  0.05997086  0.06327438  0.0632019   0.05615997  0.04083252  0.02032089
  0.009552  ]","[197.90983582 198.87283325 200.42108154 202.28872681 204.16293335
 205.78634644 207.01922607 207.84498596 208.32078552 208.50567627
 208.47451782 208.30578613 208.04727173 207.71733093 207.32019043
 206.86174011 206.36750793 205.87123108 205.3928833  204.93270874
 204.49028015 204.07276917 203.69215393 203.36004639 203.08416748
 202.86816406 202.71606445 202.62937927 202.60076904 202.61523438
 202.64880371]",2020-08-10 03:10:22,16.658000946044922,100.93999481201172,196.8000030517578,3.7816339503917233,"[ 0.43239594  0.50041962  0.25569534 -0.2661972  -0.49893188 -0.45440674
 -0.32725525 -0.24759674 -0.2024765  -0.14274979 -0.08080673 -0.05361938
 -0.07055283 -0.10687637 -0.13679886 -0.14291763 -0.11009598 -0.03537369
  0.04708481  0.07992554  0.03908157 -0.03829956 -0.08601379 -0.06921768
 -0.00490189  0.06492996  0.1109848   0.13173676  0.14247131  0.11281586
  0.07778168]","[197.90983582 199.27760315 201.51016235 204.01481628 206.13327026
 207.6872406  208.76065063 209.54203796 210.07901001 210.40644836
 210.58746338 210.69985962 210.77268982 210.77879333 210.67570496
 210.43022156 210.03152466 209.50997925 208.94696045 208.44824219
 208.05073547 207.70620728 207.31083679 206.81097412 206.22688293
 205.63887024 205.12332153 204.72648621 204.46369934 204.34104919
 204.3739624 ]"
